name,price,det,link
DREMEL® Multipurpose Accessories Set (687) - 26150687JA,650.00 EGP,Original Brand DREMEL®,/shop/drill-dremel-set687-26150687ja-dremel-r-multipurpose-accessories-set-687-26150687ja-9748
DREMEL® 3000 (3000-1/25 EZ) Drill & Grinding Multi-Tool With DREMEL® Flexible Shaft - F0133000JP,"5,450.00 EGP","Multi-Tool – Quick. Compact. All-round
Original Brand DREMEL®",/shop/drill-dremel-3000125ez-f0133000jp-dremel-r-3000-3000-1-25-ez-drill-grinding-multi-tool-with-dremel-r-flexible-shaft-f0133000jp-9747
DREMEL® 3000 (3000-15) Drill & Grinding Multi-Tool - F0133000JA,"3,950.00 EGP","Multi-Tool – Quick. Compact. All-round
Original Brand DREMEL®",/shop/drill-dremel-3000-15-f0133000ja-dremel-r-3000-3000-15-drill-grinding-multi-tool-f0133000ja-9746
Raspberry Pi AI HAT+2,"12,500.00 EGP",Built-in Hailo-10H AI Accelerator,/shop/rpi-hat-2ai-raspberry-pi-ai-hat-2-9738
BOSCH Thermo Camera PRO GTC 400 C Professional (SKU# 0 601 083 101),"36,750.00 EGP","160 × 120 infrared resolution
Temperature Range: –10 °C to 400 °C",/shop/bosch-gtc400c-bosch-thermo-camera-pro-gtc-400-c-professional-sku-0-601-083-101-9735
BOSCH Digital Multimeter PRO GDM 600-15 Professional (SKU# 0 601 077 300),"5,950.00 EGP",No description,/shop/bosch-gdm600-15-0601077300-bosch-digital-multimeter-pro-gdm-600-15-professional-sku-0-601-077-300-9734
BOSCH Clamp Meter PRO GMC 600-15 Professional (SKU# 0 601 077 600),"5,950.00 EGP","Digital Clamp Meter
600A AC
600V AC/DC",/shop/bosch-gmc600-15-0601077600-bosch-clamp-meter-pro-gmc-600-15-professional-sku-0-601-077-600-9733
BOSCH Line LASER Level 2 Line Green Light GLL 12-22G Professional (SKU# 0 601 065 320),"3,000.00 EGP",No description,/shop/bosch-gll12-22g-0601065320-bosch-line-laser-level-2-line-green-light-gll-12-22g-professional-sku-0-601-065-320-9732
BOSCH Multi-Detector PRO GMS 120-27 Professional (SKU# 0 601 081 700),"4,650.00 EGP","Wall Scanner
Detects metal, live cables, and wooden substructures Up to 12cm",/shop/bosch-gms120-27-0601081700-bosch-multi-detector-pro-gms-120-27-professional-sku-0-601-081-700-9731
BOSCH Extra Hard Screwdriver Bit Set 50 pcs (SKU# 2 607 012 080),"1,150.00 EGP",No description,/shop/bosch-2607012080-bosch-extra-hard-screwdriver-bit-set-50-pcs-sku-2-607-012-080-9730
BOSCH Pliers Set 3 pcs Professional (SKU# 1 600 A01 6BG),"1,550.00 EGP",No description,/shop/bosch-1600a016bg-bosch-pliers-set-3-pcs-professional-sku-1-600-a01-6bg-9729
BOSCH Screwdriver Set SL/PH/PZ/TX 6 pcs Professional (SKU# 1 600 A02 CV3),"1,275.00 EGP",No description,/shop/bosch-1600a02cv3-bosch-screwdriver-set-sl-ph-pz-tx-6-pcs-professional-sku-1-600-a02-cv3-9728
BOSCH Wire Stripper 160 mm Professional (SKU#1 600 A01 V03),525.00 EGP,No description,/shop/bosch-1600a01v03-bosch-wire-stripper-160-mm-professional-sku-1-600-a01-v03-9727
BOSCH Diagonal Side Cutters 160 mm Professional (SKU#1 600 A01 TH9),495.00 EGP,No description,/shop/bosch-1600a01th9-bosch-diagonal-side-cutters-160-mm-professional-sku-1-600-a01-th9-9726
BOSCH Universal Combination Pliers 180 mm Professional  (SKU#1 600 A01 TH7),575.00 EGP,No description,/shop/bosch-1600a01th7-bosch-universal-combination-pliers-180-mm-professional-sku-1-600-a01-th7-9725
BOSCH VDE Screwdriver Set SL/PH 7 pcs Professional (SKU#1 600 A02 NF7) Insulated 1000V,"1,295.00 EGP",1000V Insulated Plier Set,/shop/bosch-1600a02nf7-bosch-vde-screwdriver-set-sl-ph-7-pcs-professional-sku-1-600-a02-nf7-insulated-1000v-9724
BOSCH VDE Pliers Set 4 pcs Professional (SKU#1 600 A02 NG1) Insulated 1000V,"2,400.00 EGP",1000V Insulated Plier Set,/shop/bosch-1600a02ng1-bosch-vde-pliers-set-4-pcs-professional-sku-1-600-a02-ng1-insulated-1000v-9723
BOSCH VDE Hand Tools Mixed Set 5 pcs Professional (SKU#1 600 A02 NG2) Insulated 1000V,"1,800.00 EGP",1000V Insulated Plier & Screwdriver Set,/shop/bosch-1600a02ng2-bosch-vde-hand-tools-mixed-set-5-pcs-professional-sku-1-600-a02-ng2-insulated-1000v-9722
BOSCH VDE Combination Pliers 180 mm Professional  (SKU#1 600 A02 NE1) Insulated 1000V,650.00 EGP,1000V Insulated Plier,/shop/bosch-1600a02ne1-bosch-vde-combination-pliers-180-mm-professional-sku-1-600-a02-ne1-insulated-1000v-9721
BOSCH VDE Long Nose Pliers Straight 200 mm Professional  (SKU#1 600 A02 NE3) Insulated 1000V,575.00 EGP,1000V Insulated Plier,/shop/bosch-1600a02ne3-bosch-vde-long-nose-pliers-straight-200-mm-professional-sku-1-600-a02-ne3-insulated-1000v-9720
V-8918ESD Vacuum Suction Pen for SMD Components IC Pick Up,175.00 EGP,No description,/shop/v8918esd-v-8918esd-vacuum-suction-pen-for-smd-components-ic-pick-up-9708
"MSO3352E UNI-T Mixed Signal Oscilloscope 350 MHz - 2 Analog + 16 Digital Channels, 2.5 GSa/s Sampling Rate, and Built-in Function / Arbitrary Waveform Generator","78,500.00 EGP","With Serial bus trigger and hardware decoding (UART, RS-232, I²C, SPI, CAN, CAN-FD, LIN, FlexRay)
UNI-T Brand",/shop/avo-mso3352e-unit-mso3352e-uni-t-mixed-signal-oscilloscope-350-mhz-2-analog-16-digital-channels-2-5-gsa-s-sampling-rate-and-built-in-function-arbitrary-waveform-generator-9703
MSO2202-S UNI-T Mixed Signal Oscilloscope 200 MHz with 2 Analog + 16 Digital Channels and Built-in Function / Arbitrary Waveform Generator,"61,500.00 EGP","With Serial bus trigger and hardware decoding (UART, RS-232, I²C, SPI, CAN, CAN-FD, LIN, FlexRay)
8-inch Capacitive Touch Display
UNI-T Brand",/shop/avo-mso2202-s-unit-mso2202-s-uni-t-mixed-signal-oscilloscope-200-mhz-with-2-analog-16-digital-channels-and-built-in-function-arbitrary-waveform-generator-9702
UPO3352E UNI-T 2-Channel Digital Storage Oscilloscope 350 MHz with 2.5 GSa/s Sampling Rate,"57,000.00 EGP","With Serial bus trigger and hardware decoding (UART, RS-232, I²C, SPI, CAN, CAN-FD, LIN, FlexRay)
UNI-T Brand",/shop/avo-upo3352e-unit-upo3352e-uni-t-2-channel-digital-storage-oscilloscope-350-mhz-with-2-5-gsa-s-sampling-rate-9701
UPO3504E UNI-T 4-Channel Digital Storage Oscilloscope 500 MHz with 2.5 GSa/s Sampling Rate,"105,000.00 EGP","With Serial bus trigger and hardware decoding (UART, RS-232, I²C, SPI, CAN, CAN-FD, LIN, FlexRay, Parallel bus decoding)
UNI-T Brand",/shop/avo-upo3504e-uni-upo3504e-uni-t-4-channel-digital-storage-oscilloscope-500-mhz-with-2-5-gsa-s-sampling-rate-9700
UPO1202CS UNI-T 2-Channel Ultra Phosphor Oscilloscope 200MHz,"18,500.00 EGP","With Serial bus trigger and hardware decoding (RS232, I²C, SPI, CAN, LIN)
UNI-T Brand",/shop/avo-upo1202cs-unit-upo1202cs-uni-t-2-channel-ultra-phosphor-oscilloscope-200mhz-9698
UPO1104 UNI-T 4-Channel Ultra Phosphor Oscilloscope 100MHz,"26,000.00 EGP","With Serial bus trigger and hardware decoding (RS232, I²C, SPI, CAN, LIN)
UNI-T Brand",/shop/avo-upo1104-unit-upo1104-uni-t-4-channel-ultra-phosphor-oscilloscope-100mhz-9697
UT8803E UNI-T Benchtop Digital Multimeter,"7,300.00 EGP",UNI-T Brand,/shop/avo-ut8803e-unit-ut8803e-uni-t-benchtop-digital-multimeter-9695
UTE9802+ Smart Digital Power Meter – True RMS Single-Phase AC/DC Power Analyzer (1W to 11kW),"14,500.00 EGP",UNI-T Brand,/shop/avo-ute9802-unit-ute9802-smart-digital-power-meter-true-rms-single-phase-ac-dc-power-analyzer-1w-to-11kw-9692
"UTL8512+ Programmable DC Electronic Load (300 W, Single Channel)","18,500.00 EGP",UNI-T Brand,/shop/avo-utl8512-unit-utl8512-programmable-dc-electronic-load-300-w-single-channel-9691
UTL8212+ DC Electronic Load Dual Channel 200Wx2,"9,500.00 EGP",UNI-T Brand,/shop/avo-utl8212-unit-utl8212-dc-electronic-load-dual-channel-200wx2-9690?page=2
UTL8211+ DC Electronic Load Single Channel 400W,"8,950.00 EGP",UNI-T Brand,/shop/avo-utl8211-unit-utl8211-dc-electronic-load-single-channel-400w-9689?page=2
UT3513+ Professional Bench-Top Micro Ohm Meter,"13,500.00 EGP",UNI-T Brand,/shop/avo-ut3513-unit-ut3513-professional-bench-top-micro-ohm-meter-9688?page=2
UT620C+ Micro Ohm Meter,"7,950.00 EGP","UNI-T Brand
Measurement Range: 0.001 mΩ – 300 kΩ",/shop/avo-ut620c-unit-ut620c-micro-ohm-meter-9687?page=2
UTR2811E+ Professional LCR Meter - Bench Meter,"11,500.00 EGP",UNI-T Brand,/shop/avo-utr2811e-unit-utr2811e-professional-lcr-meter-bench-meter-9686?page=2
UTP3305-II Switching Triple Output DC Programmable Power Supply 0~32V 0~5A,"9,950.00 EGP","UNI-T Brand
DC Adjustable Linear Power Supply
Two Isolated Ground Adjustable 0-32V/0-5A outputs + One Fixed 5V/3A output",/shop/ps-utp3305ii-unit-utp3305-ii-switching-triple-output-dc-programmable-power-supply-0-32v-0-5a-9685?page=2
UT336P-KIT Wireless Pressure Gauge with Temperature Clamp,"4,150.00 EGP","Pressure Measurement Range: –1 to 60 bar
UNI-T Brand",/shop/avo-ut336kit-unit-ut336p-kit-wireless-pressure-gauge-with-temperature-clamp-9684?page=2
UT336P Wireless Pressure Gauge,"2,850.00 EGP","Pressure Measurement Range: –1 to 60 bar
UNI-T Brand",/shop/avo-ut336p-unit-ut336p-wireless-pressure-gauge-9683?page=2
LM576LD LASER Level 16 Line Green Light,"5,750.00 EGP",UNI-T Brand,/shop/avo-lm576ld-unit-lm576ld-laser-level-16-line-green-light-9682?page=2
LM573LD-II LASER Level 12 Line Green Light,"4,750.00 EGP",UNI-T Brand,/shop/avo-lm573ldii-uni-lm573ld-ii-laser-level-12-line-green-light-9681?page=2
LM570LD-II LASER Level 2 Line Green Light,"1,650.00 EGP",UNI-T Brand,/shop/avo-lm570ldii-unit-lm570ld-ii-laser-level-2-line-green-light-9680?page=2
UTi260B Heavy Duty Thermal Camera,"15,750.00 EGP","256 × 192 infrared resolution
Temperature Range: –20 °C to 550 °C
UNI-T Brand",/shop/avo-uti260b-unit-uti260b-heavy-duty-thermal-camera-9679?page=2
UTi720A Heavy Duty Thermal Camera,"14,500.00 EGP","256 × 192 infrared resolution
Temperature Range: –20 °C to 400 °C
UNI-T Brand",/shop/avo-uti720a-unit-uti720a-heavy-duty-thermal-camera-9678?page=2
UTi120M - Smartphone Thermal Camera Module for Android,"5,950.00 EGP","120 × 90 infrared resolution
Temperature Range: –20 °C to 400 °C
UNI-T Brand",/shop/avo-uti120m-unit-uti120m-smartphone-thermal-camera-module-for-android-9677?page=2
UT330TH USB Temperature & Humidity Datalogger,"1,350.00 EGP","UNI-T Brand
Upgraded model from UT330B",/shop/avo-ut330th-unit-ut330th-usb-temperature-humidity-datalogger-9675?page=2
A57 BT Temperature Humidity Datalogger With Prob,"2,500.00 EGP",UNI-T Brand,/shop/avo-a57bt-unit-a57-bt-temperature-humidity-datalogger-with-prob-9674?page=2
A56 BT Temperature Humidity Datalogger,"2,150.00 EGP",UNI-T Brand,/shop/avo-a56bt-unit-a56-bt-temperature-humidity-datalogger-9672?page=2
UT312A Vibration Tester,"12,350.00 EGP",UNI-T Brand,/shop/avo-ut312a-unit-ut312a-vibration-tester-9671?page=2
UT306S Infrared Thermometer - Non Contact Temperature Meter,450.00 EGP,"Temperature range: -50℃～500℃
UNI-T Brand
Upgraded Model From UT300S",/shop/avo-ut306s-unit-ut306s-infrared-thermometer-non-contact-temperature-meter-9670?page=2
LM320E Digital Angle Meter,"1,050.00 EGP",UNI-T Brand,/shop/avo-lm320e-unit-lm320e-digital-angle-meter-9669?page=2
LM60Mi Mini Laser Distance Meter - Pocket Size,"1,150.00 EGP","UNI-T Brand
Chargeable With Mobile C-Type Charger",/shop/avo-lm60mi-unit-lm60mi-mini-laser-distance-meter-pocket-size-9668?page=2
LM50A Laser Distance Meter (up to 50 meters),825.00 EGP,UNI-T Brand,/shop/avo-lm50a-unit-lm50a-laser-distance-meter-up-to-50-meters-9667?page=2
Ai Thinker AiPi-CAM-D200 Camera Core Development Board,950.00 EGP,"AI-Thinker Brand
Ai-M61-32S Processor Module
Compatible With ESP32 CAM
Wifi & Blutooth",/shop/kit-esp32-aipi-camera-d200-ai-thinker-aipi-cam-d200-camera-core-development-board-9666?page=2
