name,price,det,link
Raspberry Pi 5 - 16GB,"9,750.00 EGP",No description,/shop/rpi5-board-16gb-raspberry-pi-5-16gb-9477
Sealed Lead Acid Battery 12V/5Ah - GLOBE,900.00 EGP,"GLOBE - High Quality Battery
Dimensions 90x70x101.5mm
WPS5-12",/shop/battery-12v5a-globe-sealed-lead-acid-battery-12v-5ah-globe-9475
TM619-380Vac 3-Phase Timer Switch 30A/380Vac,"1,250.00 EGP",No description,/shop/tm619-380v-30a-timer-tm619-380vac-3-phase-timer-switch-30a-380vac-9466
CN109A-2/10A 220Vac Timer Switch,325.00 EGP,Big LCD Display 7 Days 18 Programmable Time Switch ON/OFF,/shop/cn109a-220vac-10a-timer-cn109a-2-10a-220vac-timer-switch-9465
CN109A-4/30A 12Vdc Timer Switch,450.00 EGP,Big LCD Display 7 Days 18 Programmable Time Switch ON/OFF,/shop/cn109a-12vdc-30a-timer-cn109a-4-30a-12vdc-timer-switch-9463
Mini DC Gearbox Motors Pair (2 Motors) With Back Shaft,50.00 EGP,No description,/shop/ro-motor-tt-mini-dc-gearbox-motors-pair-2-motors-with-back-shaft-9455
Conductive Thermal Cooling Pad 10x10x1 mm (10x Piece),10.00 EGP,No description,/shop/hs-pad-10x10-conductive-thermal-cooling-pad-10x10x1-mm-10x-piece-9448
FNIRSI® S1 Large Screen Digital Display Smart Multimeter,"1,450.00 EGP",Similar to UT121/UT122,/shop/avo-s1-fnirsi-fnirsi-r-s1-large-screen-digital-display-smart-multimeter-9444
FNIRSI® DMT-99 Intelligent Color Screen Digital Multimeter,"2,450.00 EGP",No description,/shop/avo-dmt99-fnirsi-fnirsi-r-dmt-99-intelligent-color-screen-digital-multimeter-9443
FNIRSI® LCR-P1 Multifunction LCR Transistor Capacitor Tester,"1,950.00 EGP",Multi-purpose Transistor Tester Diode Thyristor Capacitance Resistor Inductance MOSFET IGBT ESR LCR Meter,/shop/tester-lcr-p1-fnirsi-fnirsi-r-lcr-p1-multifunction-lcr-transistor-capacitor-tester-9440
FNIRSI® DPS-150 Programmable Mini Portable DC Adjustable Power Supply 0~30V 0~5A,"3,750.00 EGP",DC Adjustable Switching Mode Power Supply,/shop/dps150-power-fnirsi-fnirsi-r-dps-150-programmable-mini-portable-dc-adjustable-power-supply-0-30v-0-5a-9439
QianLi Macaron Max - Replacement Extra Welding Pen Prob (Spare Part),450.00 EGP,Extra Probe For Spot Welding Machine,/shop/spot-prob-macaron-qianli-macaron-max-replacement-extra-welding-pen-prob-spare-part-9429
QianLi Macaron Max Integrated Spot Welding Machine,"3,850.00 EGP",Portable Double Pulse Spot Welder For Battery,/shop/spot-welding-macaron-max-qianli-macaron-max-integrated-spot-welding-machine-9428
Wire Wrapping 8 Colors 30AWG 280 meter Roll,300.00 EGP,Insulation Wire - Colored Solid PVC Cable Climbing Jumper Wire Connector,/shop/kw-color-8wire-wire-wrapping-8-colors-30awg-280-meter-roll-9426
Shielded 4 Wires Copper Cable 1 Meter,40.00 EGP,No description,/shop/cable-sh-4pin-2426-shielded-4-wires-copper-cable-1-meter-9422
Heat Shrink Φ 20mm - 1 Roll 25 Meters,350.00 EGP,"Black Color - 1 Roll, 25 Meters",/shop/rol25-h-sh-20mm-b-heat-shrink-ph-20mm-1-roll-25-meters-9419
Heat Shrink Φ 15mm - 1 Roll 25 Meters,275.00 EGP,"Black Color - 1 Roll, 25 Meters",/shop/rol25-h-sh-15mm-b-heat-shrink-ph-15mm-1-roll-25-meters-9418
Heat Shrink Φ 10mm - 1 Roll 25 Meters,195.00 EGP,"Black Color - 1 Roll, 25 Meters",/shop/rol25-h-sh-10mm-b-heat-shrink-ph-10mm-1-roll-25-meters-9417
Heat Shrink Φ 8mm - 1 Roll 25 Meters,175.00 EGP,"Black Color - 1 Roll, 25 Meters",/shop/rol25-h-sh-8mm-b-heat-shrink-ph-8mm-1-roll-25-meters-9416
Heat Shrink Φ 6mm - 1 Roll 25 Meters,155.00 EGP,"Black Color - 1 Roll, 25 Meters",/shop/rol25-h-sh-6mm-b-heat-shrink-ph-6mm-1-roll-25-meters-9415
